id,name,country,short_name,alias,weblink,inspire_id,active,status,pub_addr
69,"Department of Physics and Astronomy, Stony Brook University, SUNY, Stony Brook, New York 11794-3800, USA",USA,stonybrk_p,"Dept. Physics & Astronomy, Stony Brook University",http://www.physics.sunysb.edu/Physics/,"SUNY, Stony Brook",t,active,"Department of Physics and Astronomy, Stony Brook University, SUNY, Stony Brook, New York 11794-3800, USA"
7,"Collider-Accelerator Department, Brookhaven National Laboratory (BNL), Upton, New York 11973-5000, USA",USA,bnl_coll,Brookhaven National Lab. Collider-Accelerator Dept.,http://www.bnl.gov/cad,"BNL, C-A Dept.",t,active,"Collider-Accelerator Department, Brookhaven National Laboratory, Upton, New York 11973-5000, USA"
84,"National Research Nuclear University, MEPhI, Moscow Engineering Physics Institute, Moscow, 115409, Russia",Russia,nat_mephi,"National Research Nuclear University, MEPhI",http://mephi.ru/eng/,Moscow Phys. Eng. Inst.,t,active,"National Research Nuclear University, MEPhI, Moscow Engineering Physics Institute, Moscow, 115409, Russia"
3,"Department of Physics, Augustana University, Sioux Falls, South Dakota 57197, USA",USA,augie,Augustana College,http://www.augustana.edu/,"Augustana Coll., Sioux Falls",t,active,"Department of Physics, Augustana University, Sioux Falls, South Dakota 57197, USA"
85,"Nara Women's University, Kita-uoya Nishi-machi Nara 630-8506, Japan",Japan,nara,Nara Women's University,,,t,active,"Nara Women's University, Kita-uoya Nishi-machi Nara 630-8506, Japan"
59,"Peking University, Beijing 100871, P.~R.~China",China,peking,Peking University,http://www.pku.edu.cn/eindex.html,"Peking U., Beijing",t,active,"Peking University, Beijing 100871, People's Republic of China"
58,"IPN-Orsay, Univ. Paris-Sud, CNRS/IN2P3, Université Paris-Saclay, BP1, F-91406, Orsay, France",France,orsay,"IPN-Orsay, Universite Paris Sud",http://ipnweb.in2p3.fr/index_E.html,"Orsay, IPN",t,active,"IPN-Orsay, Univ.~Paris-Sud, CNRS/IN2P3, Universit\'e Paris-Saclay, BP1, F-91406, Orsay, France"
88,"Physics and Astronomy Department, University of North Carolina at Greensboro, Greensboro, North Carolina 27412, USA",USA,northcg,UNCG,,,t,active,"Physics and Astronomy Department, University of North Carolina at Greensboro, Greensboro, North Carolina 27412, USA"
76,"Waseda University, Advanced Research Institute for Science and Engineering, 17  Kikui-cho, Shinjuku-ku, Tokyo 162-0044, Japan",Japan,waseda,Waseda University,http://www.waseda.jp/top/index-e.html,"Waseda U., RISE",f,inactive,"Waseda University, Advanced Research Institute for Science and Engineering, 17  Kikui-cho, Shinjuku-ku, Tokyo 162-0044, Japan"
13,"Center for Nuclear Study, Graduate School of Science, University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo 113-0033, Japan",Japan,cns,"Center for Nuclear Study, University of Tokyo",http://phenix.cns.s.u-tokyo.ac.jp/index.html,"Tokyo U., CNS",t,active,"Center for Nuclear Study, Graduate School of Science, University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo 113-0033, Japan"
46,"University of Maryland, College Park, Maryland 20742, USA",USA,maryland,University of Maryland,http://www.umd.edu/,"Maryland U., College Park",t,active,"University of Maryland, College Park, Maryland 20742, USA"
36,"KEK, High Energy Accelerator Research Organization, Tsukuba, Ibaraki 305-0801, Japan",Japan,kek,KEK,http://www.kek.jp/,"KEK, Tsukuba",t,active,"KEK, High Energy Accelerator Research Organization, Tsukuba, Ibaraki 305-0801, Japan"
6,"Baruch College, City University of New York, New York, New York, 10010 USA",USA,baruch,Baruch College,http:http://www.baruch.cuny.edu/,Baruch Coll.,t,active,"Baruch College, City University of New York, New York, New York, 10010 USA"
5,"Bhabha Atomic Research Centre, Bombay 400 085, India",India,barc,Bhabha Atomic Research Centre,http://www.barc.ernet.in/,Bhabha Atomic Res. Ctr.,t,active,"Bhabha Atomic Research Centre, Bombay 400 085, India"
56,"Department of Physics and Astronomy, Ohio University, Athens, Ohio 45701, USA",USA,ohio,Ohio University,http://www.ohio.edu/,Ohio U.,t,active,"Department of Physics and Astronomy, Ohio University, Athens, Ohio 45701, USA"
45,"Department of Physics, Lund University, Box 118, SE-221 00 Lund, Sweden",Sweden,lund_,Lund University,http://www.kosufy.lu.se/,Lund U.,t,active,"Department of Physics, Lund University, Box 118, SE-221 00 Lund, Sweden"
47,"Department of Physics, University of Massachusetts, Amherst, Massachusetts 01003-9337, USA",USA,mass,University of Massachusetts,http://www.physics.umass.edu/,"Massachusetts U., Amherst",t,active,"Department of Physics, University of Massachusetts, Amherst, Massachusetts 01003-9337, USA"
48,"Department of Physics, University of Michigan, Ann Arbor, Michigan 48109-1040, USA",USA,michigan,University of Michigan,http://www.umich.edu/,Michigan U.,t,active,"Department of Physics, University of Michigan, Ann Arbor, Michigan 48109-1040, USA"
23,"Georgia State University, Atlanta, Georgia 30303, USA",USA,gsu_,Georgia State University,http://www.gsu.edu/,"Georgia State U., Atlanta",t,active,"Georgia State University, Atlanta, Georgia 30303, USA"
25,"Hiroshima University, Kagamiyama, Higashi-Hiroshima 739-8526, Japan",Japan,hiroshima,Hiroshima University,http://www.hepl.hiroshima-u.ac.jp/indexen.html,Hiroshima U. (main),t,active,"Hiroshima University, Kagamiyama, Higashi-Hiroshima 739-8526, Japan"
28,"Institute for Nuclear Research of the Russian Academy of Sciences, prospekt 60-letiya Oktyabrya 7a, Moscow 117312, Russia",Russia,inr_ras,"Institute for Nuclear Research, RAS",http://www.inr.troitsk.ru/eng/english.html,"Moscow, INR",t,active,"Institute for Nuclear Research of the Russian Academy of Sciences, prospekt 60-letiya Oktyabrya 7a, Moscow 117312, Russia"
37,"Korea University, Seoul 02841, Korea",Korea,korea,Korea University,http://www.korea.edu/,Korea U.,t,active,"Korea University, Seoul 02841, Korea"
39,"Kyoto University, Kyoto 606-8502, Japan",Japan,kyoto,Kyoto University,http://www-nh.scphys.kyoto-u.ac.jp,Kyoto U. (main),t,active,"Kyoto University, Kyoto 606-8502, Japan"
42,"Lawrence Livermore National Laboratory, Livermore, California 94550, USA",USA,law_llnl,Lawrence Livermore National Laboratory,http://www.llnl.gov/,"LLNL, Livermore",t,active,"Lawrence Livermore National Laboratory, Livermore, California 94550, USA"
