institute,person,run,status
59,471,16,prim
43,474,16,prim
8,480,16,prim
9,482,16,prim
63,484,16,prim
14,485,16,prim
19,487,16,prim
68,425,16,prim
62,306,5,sec
61,543,3,sec
62,564,3,sec
62,587,3,sec
62,599,3,sec
79,631,2,prim
35,944,2,prim
5,346,2,prim
8,347,2,prim
68,683,2,prim
57,662,2,prim
43,16,2,prim
17,23,2,prim
15,351,2,prim
30,352,2,prim
15,1315,2,prim
70,239,2,prim
70,624,2,prim
74,1316,2,prim
40,1159,2,prim
70,632,2,prim
26,359,2,prim
62,360,2,prim
8,609,2,prim
69,928,2,prim
70,301,3,prim
26,744,3,prim
9,539,3,prim
8,146,3,prim
45,499,16,prim
36,501,16,prim
55,504,16,prim
55,505,16,prim
32,507,16,prim
8,508,16,prim
8,509,16,prim
8,510,16,prim
33,513,16,prim
77,515,16,prim
60,520,16,prim
44,521,16,prim
30,522,16,prim
32,525,16,prim
69,528,16,prim
8,529,16,prim
31,533,16,prim
9,536,16,prim
61,538,16,prim
9,539,16,prim
69,540,16,prim
26,541,16,prim
73,543,16,prim
25,544,16,prim
74,844,16,prim
4,549,16,prim
10,550,16,prim
42,551,16,prim
26,541,3,prim
43,552,16,prim
72,553,16,prim
8,554,16,prim
57,555,16,prim
45,556,16,prim
16,585,16,sec
78,558,16,prim
8,559,16,prim
25,560,16,prim
78,562,16,prim
61,564,16,prim
53,566,16,prim
18,568,16,prim
54,570,16,prim
29,574,16,prim
1,576,16,prim
77,577,16,prim
15,581,16,prim
75,582,16,prim
78,583,16,prim
16,584,16,prim
61,587,16,prim
55,588,16,prim
27,590,16,prim
8,592,16,prim
57,593,16,prim
26,596,16,prim
61,599,16,prim
38,602,16,prim
15,603,16,prim
8,608,16,prim
8,609,16,prim
8,610,16,prim
8,612,16,prim
8,614,16,prim
8,615,16,prim
8,617,16,prim
8,618,16,prim
8,619,16,prim
8,620,16,prim
8,621,16,prim
27,622,16,prim
1,625,16,prim
8,629,16,prim
71,630,16,prim
27,631,16,prim
74,633,16,prim
38,634,16,prim
69,636,16,prim
75,637,16,prim
32,639,16,prim
7,640,16,prim
79,641,16,prim
38,642,16,prim
33,645,16,prim
15,647,16,prim
43,650,16,prim
32,651,16,prim
8,613,16,prim
32,652,16,prim
14,698,16,prim
57,662,16,prim
75,663,16,prim
69,664,16,prim
17,665,16,prim
65,666,16,prim
72,516,16,sec
15,667,16,prim
43,669,16,prim
43,670,16,prim
40,671,16,prim
60,672,16,prim
8,674,16,prim
8,675,16,prim
8,676,16,prim
77,677,16,prim
5,679,16,prim
12,682,16,prim
8,685,16,prim
62,688,16,prim
60,695,16,prim
51,699,16,prim
27,700,16,prim
8,705,16,prim
5,706,16,prim
65,709,16,prim
46,711,16,prim
62,713,16,prim
8,715,16,prim
13,723,16,prim
56,727,16,prim
74,730,16,prim
60,740,16,prim
26,741,16,prim
26,745,16,prim
52,746,16,prim
8,749,16,prim
55,751,16,prim
38,752,16,prim
23,757,16,prim
62,758,16,prim
45,759,16,prim
51,763,16,prim
9,772,16,prim
7,774,16,prim
27,776,16,prim
51,780,16,prim
11,783,16,prim
4,789,16,prim
4,790,16,prim
43,793,16,prim
9,794,16,prim
36,796,16,prim
37,798,16,prim
60,532,16,prim
8,712,16,prim
23,819,16,prim
69,823,16,prim
51,824,16,prim
51,825,16,prim
20,827,16,prim
51,828,16,prim
69,833,16,prim
14,834,16,prim
51,836,16,prim
30,838,16,prim
68,839,16,prim
51,840,16,prim
69,841,16,prim
16,845,16,prim
7,849,16,prim
69,857,16,prim
37,860,16,prim
8,861,16,prim
61,864,16,prim
69,865,16,prim
22,872,16,prim
36,873,16,prim
60,874,16,prim
33,875,16,prim
27,876,16,prim
68,878,16,prim
68,879,16,prim
49,883,16,prim
72,885,16,prim
30,886,16,prim
33,890,16,prim
30,891,16,prim
66,893,16,prim
4,895,16,prim
9,896,16,prim
62,393,5,sec
62,415,5,sec
8,675,5,prim
39,897,16,prim
72,898,16,prim
56,901,16,prim
39,902,16,prim
1,904,16,prim
63,906,16,prim
33,907,16,prim
36,908,16,prim
74,909,16,prim
68,910,16,prim
5,914,16,prim
5,915,16,prim
4,918,16,prim
30,925,16,prim
